price,square,constructionTime,elevator,district
22202,134,2008,1,6
30189,111.3,2008,1,7
29000,60.69,2008,1,7
57677,61.55,2008,1,7
27853,125.66,2008,1,6
26805,47.38,2008,1,3
27272,53.17,2008,1,3
28505,51.22,2008,1,12
19758,55.17,2008,1,6
56787,71.32,2008,1,2
29615,236.37,2008,1,6
28709,89.87,2008,1,13
20834,51.12,2008,1,6
72132,305,2008,1,1
54152,58.17,2008,1,7
52440,57.4,2008,1,7
26497,117.75,2008,1,7
65741,108,2008,1,8
25315,127.95,2008,0,6
54363,220.74,2008,1,7
40780,77,2008,1,7
20000,33,2008,1,3
16227,159,2008,1,6
28557,98.05,2008,0,6
13441,111.6,2008,1,13
15233,111.6,2008,1,13
26516,132,2008,1,6
22416,118,2008,1,6
21722,61,2008,1,6
29160,81.62,2008,1,6
35938,48,2008,1,7
25667,60,2008,1,8
21379,37.42,2008,1,7
51032,252,2008,1,7
34796,171,2008,1,7
46173,168.93,2008,1,7
49432,88,2008,1,7
74003,290.8,2008,0,7
73755,248.12,2008,0,7
61539,260,2008,1,7
22576,55.37,2008,1,6
20936,36.78,2008,1,7
18966,58,2008,1,6
24880,124.2,2008,0,6
37742,93.53,2008,1,7
25000,214,2008,1,7
61053,57,2008,1,7
51585,88.98,2008,1,7
21800,50,2008,1,6
60527,76,2008,1,7
30385,118.48,2008,1,7
33038,158,2008,1,6
73105,188.77,2008,1,1
51656,108.41,2008,1,7
60647,29.68,2008,1,8
29776,89,2008,1,6
57646,152.31,2008,1,7
57946,39.52,2008,1,7
56180,89,2008,1,7
12821,156,2008,1,13
10257,156,2008,1,13
23311,90.09,2008,1,5
75347,90.25,2008,1,7
20422,47.5,2008,1,6
119116,94.53,2008,1,10
34190,74,2008,1,13
22658,58.7,2008,1,6
31628,43,2008,1,3
31434,73.17,2008,1,6
87597,129,2008,1,1
35069,365,2008,1,7
28789,84.06,2008,0,6
58844,55.52,2008,1,7
57447,114.89,2008,1,7
60568,86.68,2008,1,7
38893,98.99,2008,0,12
66675,89.99,2008,1,7
28913,51.88,2008,1,7
36312,227.2,2008,1,8
46468,184,2008,1,2
24961,127,2008,0,6
39097,129.68,2008,1,7
48462,104,2008,1,7
72413,227.86,2008,1,7
20230,46.96,2008,1,3
63560,118,2008,1,7
32350,112.83,2008,1,6
21910,95.85,2008,1,6
77878,54.83,2008,1,1
38403,77.86,2008,1,2
39562,88.47,2008,1,7
27744,97.32,2008,1,12
18723,42.73,2008,1,3
36892,91.62,2008,1,2
25458,144.95,2008,1,6
23052,169.62,2008,0,3
43624,80.92,2008,0,7
62278,118.02,2008,1,7
29293,160.45,2008,1,3
